1280 800
4 1400 2
1.0 1.0 0.0 0.5
0.0 1.0 1.0 0.5
1.0 0.0 1.0 0.5
1.0 1.0 1.0 0.5
316 88 3 41 3
700 55 42 36 0
1129 92 3 49 1
718 48 10 49 0
96 42 20 24 1
321 38 42 46 3
0 58 30 16 0
1176 1 12 33 2
450 45 27 11 1
65 55 10 18 2
399 99 23 35 0
381 14 41 13 1
999 28 23 18 0
109 37 12 48 1
148 76 33 31 2
463 93 32 33 2
92 98 31 47 0
576 21 46 19 0
144 30 9 11 2
1151 20 7 33 2
493 34 5 27 1
1240 63 24 38 3
608 72 16 19 1
751 24 11 25 2
785 34 4 39 1
1050 62 49 13 3
140 86 23 26 0
639 98 46 12 3
636 4 14 31 1
191 89 12 10 3
1222 49 29 42 1
724 31 34 19 1
392 1 47 29 1
1249 85 7 16 3
1005 44 11 43 0
336 74 19 30 1
1173 74 22 49 3
144 57 8 48 0
631 99 21 29 2
1016 11 34 42 1
1157 42 31 33 1
1112 15 46 14 3
485 14 30 39 3
239 75 3 33 1
514 73 36 10 3
940 21 42 41 3
841 80 6 19 3
1269 45 24 22 1
1197 1 43 13 2
559 91 10 35 2
391 43 13 45 3
577 38 37 42 0
119 20 31 16 3
47 6 35 46 1
13 79 11 11 1
753 72 17 11 1
424 14 46 11 2
590 64 17 35 3
381 0 12 21 3
1083 46 19 37 3
587 24 28 35 0
1202 57 17 22 2
1129 8 35 41 1
1250 98 32 19 3
861 90 27 14 0
779 17 49 13 0
940 63 32 48 2
282 78 16 24 3
757 0 17 46 2
653 35 2 21 1
799 11 17 19 3
756 80 8 10 0
611 11 9 30 2
874 43 41 16 1
1009 10 3 45 2
1149 31 12 21 3
110 34 14 14 2
142 59 23 40 3
775 49 3 17 3
1278 20 29 12 0
1174 17 27 37 1
354 98 5 40 1
517 12 38 34 0
605 24 47 45 1
668 79 12 40 0
608 48 28 20 1
1256 49 0 33 0
410 51 35 13 3
293 15 31 32 2
586 70 1 19 3
767 32 40 23 0
614 18 38 39 0
1000 20 26 36 3
327 29 25 31 2
955 93 3 11 0
624 59 39 41 1
1101 59 24 19 0
1031 9 30 35 1
361 13 14 42 1
1233 60 4 42 2
58 76 1 19 1
970 14 43 25 0
905 55 16 24 1
44 13 40 11 0
127 80 25 15 2
205 53 44 25 0
712 53 7 34 1
99 48 47 12 3
407 20 38 25 0
797 71 28 49 3
977 3 46 22 2
498 20 22 10 2
642 73 41 25 3
871 67 1 29 0
648 82 29 42 0
644 39 27 30 1
982 54 16 37 0
4 76 44 27 1
430 2 40 15 3
1109 44 41 23 2
1223 92 42 19 0
495 88 6 13 0
702 27 2 47 1
758 52 34 16 0
1254 80 30 34 3
453 99 20 18 3
1097 71 22 10 3
1142 39 45 29 3
792 45 4 21 0
273 43 26 24 2
980 5 20 30 0
1107 71 25 45 1
624 18 17 26 3
408 73 1 16 1
1264 93 23 43 2
394 46 17 18 0
360 96 31 48 3
893 33 12 36 1
53 77 43 42 0
906 84 0 44 3
686 40 32 42 2
408 78 3 24 2
789 65 42 34 3
1253 14 40 42 0
1183 80 28 37 2
1083 85 31 23 2
591 2 40 41 2
1114 40 8 46 0
179 8 35 17 0
504 97 19 10 1
986 66 17 21 1
393 74 14 16 0
475 7 6 21 2
525 0 14 18 1
218 83 29 10 3
817 3 25 30 0
1166 64 29 18 1
657 48 27 28 3
311 86 45 36 1
905 87 3 28 2
1231 88 11 17 2
963 9 9 15 3
1035 98 49 43 2
505 9 3 18 2
1276 59 47 20 0
115 12 44 34 2
208 71 36 28 0
670 41 18 34 0
147 24 7 27 1
954 89 38 39 0
916 27 35 14 1
790 11 31 16 2
975 75 10 49 1
844 72 0 18 1
899 4 36 10 1
499 42 43 27 1
634 58 28 37 0
860 84 15 29 3
408 51 31 27 2
305 29 18 16 1
614 67 36 10 1
978 30 23 49 1
1079 58 46 34 0
680 76 31 48 1
315 92 38 31 1
1149 71 34 11 0
648 0 26 22 1
918 38 27 36 0
534 58 15 27 1
1120 95 21 31 3
546 51 30 21 0
91 86 19 30 2
523 35 23 33 3
228 43 22 18 3
423 77 39 22 3
133 75 5 29 1
198 91 38 24 1
1051 6 31 41 1
928 8 17 46 3
1267 98 32 26 2
274 95 4 48 3
1091 85 47 15 1
81 15 4 18 3
1093 39 36 31 3
1134 54 34 12 3
706 19 24 17 0
539 88 14 15 3
1247 99 42 46 2
509 27 17 38 1
1026 89 0 38 2
665 95 21 34 0
196 64 21 24 2
950 69 45 37 0
329 95 19 40 2
215 87 38 40 2
113 26 14 47 0
90 80 8 29 0
7 96 39 19 0
660 51 48 16 3
84 52 5 16 3
1134 70 48 12 2
1032 17 17 18 1
1147 75 3 27 3
1045 85 14 40 1
1227 23 10 38 3
936 55 43 22 0
713 84 5 44 3
1086 21 17 12 1
286 38 38 19 1
238 95 42 29 1
792 25 20 33 2
1000 56 11 37 2
10 31 5 14 2
1165 51 22 29 2
143 32 29 17 3
542 4 41 16 0
149 63 18 33 1
201 54 18 41 0
1007 4 9 33 1
207 68 3 41 2
582 91 10 33 1
1279 85 0 20 3
451 2 30 33 1
97 8 20 21 3
489 77 11 41 3
795 56 21 49 1
206 27 29 35 3
772 65 36 27 1
583 52 38 30 3
916 17 44 18 2
1095 37 41 28 2
208 89 46 23 1
268 81 23 17 0
354 79 9 44 0
978 83 32 30 1
278 91 38 43 3
356 83 5 31 2
472 96 49 48 2
691 39 15 12 0
962 41 30 17 1
450 17 14 16 0
1271 43 16 46 0
911 81 6 29 1
143 16 17 11 0
1119 23 44 49 3
139 87 41 47 1
109 57 48 19 2
1136 60 12 23 1
111 60 41 12 1
1244 10 17 34 3
795 81 22 10 3
939 39 20 28 1
472 78 31 47 2
456 60 45 19 2
201 78 28 38 0
508 35 46 46 2
17 93 14 14 1
232 64 23 47 0
1104 21 16 44 0
290 86 27 37 1
810 45 18 39 3
1064 88 17 47 0
48 75 25 17 1
1214 78 27 49 1
850 25 19 33 0
972 28 39 29 3
152 64 27 29 3
1174 78 0 39 1
796 26 19 46 3
93 27 13 39 1
858 2 36 37 1
516 70 41 24 0
406 23 31 29 1
55 23 28 19 3
751 52 29 23 1
7 43 9 42 3
809 86 49 38 0
118 35 12 43 2
889 28 5 12 0
422 40 33 48 1
158 29 6 20 0
855 40 35 38 2
879 83 32 30 3
671 75 23 28 2
1202 82 7 14 1
1070 55 31 19 3
1003 68 8 20 1
1212 67 17 17 0
1102 39 0 35 2
905 46 23 35 0
411 54 6 39 2
835 21 35 47 1
705 80 3 17 0
544 7 28 26 2
605 62 40 43 3
844 67 3 17 3
249 37 48 22 1
190 97 20 16 2
722 8 44 20 0
676 67 4 17 3
1234 49 30 42 3
953 29 9 42 2
906 28 30 36 2
1026 16 24 24 2
396 10 20 33 1
167 81 17 14 2
186 12 40 28 2
986 0 22 17 1
1116 65 26 20 2
1063 45 5 39 1
704 16 22 38 2
229 19 12 19 3
221 35 15 16 0
275 66 27 10 0
337 3 29 15 3
60 62 35 17 0
953 54 33 43 0
822 92 32 32 0
1031 80 32 35 0
629 82 27 43 3
628 37 3 23 0
862 98 15 30 2
62 52 26 14 1
223 76 47 15 3
94 46 27 26 2
319 89 33 26 2
1128 71 28 41 1
988 85 38 29 0
779 23 31 10 0
257 80 32 43 1
587 87 23 17 1
522 14 5 31 1
1107 32 10 26 2
235 7 43 23 0
1030 67 16 41 2
680 3 49 21 1
306 92 48 30 1
887 16 5 46 1
682 63 21 43 1
985 60 38 35 0
817 21 33 16 0
888 11 33 27 0
263 57 28 19 3
516 40 43 10 3
1143 23 34 43 1
973 34 34 42 2
854 33 37 35 0
697 1 32 44 2
1030 0 40 12 2
1184 23 13 27 2
1262 71 46 30 2
914 42 9 29 2
425 52 0 49 1
534 32 35 45 3
41 52 48 42 2
383 80 47 49 0
985 8 8 27 3
771 14 2 44 0
758 22 34 23 1
718 92 5 15 3
237 1 34 33 0
1263 6 24 23 1
432 7 27 19 1
139 75 6 22 2
701 41 26 31 1
823 36 46 21 0
51 53 29 26 0
862 54 30 24 1
116 36 28 16 2
763 50 17 20 1
1123 58 39 13 0
1275 41 49 28 0
1227 62 44 42 3
296 99 38 25 1
426 78 9 33 3
714 47 6 29 0
509 7 18 40 2
1007 88 42 14 1
262 29 1 11 1
1241 99 49 12 3
910 24 10 10 2
405 36 0 44 3
640 53 13 32 1
242 95 25 33 3
616 46 8 31 1
879 16 23 47 1
1055 2 17 19 3
522 80 5 23 2
1029 70 5 25 0
192 13 21 33 3
282 94 40 37 1
991 64 38 41 1
241 56 24 22 2
1121 90 42 33 2
37 15 15 25 2
14 72 40 20 1
907 31 31 47 1
599 6 37 47 1
1217 38 3 16 0
1235 70 29 43 0
1028 86 34 13 3
735 11 43 49 1
439 84 24 32 0
1217 27 10 37 3
921 60 38 28 0
206 46 18 23 3
672 97 14 29 3
267 84 14 35 3
217 15 37 22 0
50 42 37 21 1
100 49 20 44 1
491 92 27 16 0
936 81 27 37 3
1024 97 5 36 0
523 67 21 44 3
1079 0 25 45 0
368 84 49 43 3
113 67 33 32 1
247 26 46 20 2
1238 41 42 25 3
549 62 24 21 2
261 31 46 34 3
275 6 25 40 3
1174 59 43 21 1
1017 78 34 32 3
674 90 13 23 3
1237 72 14 24 2
796 41 40 46 2
696 56 23 37 0
412 7 5 49 0
739 16 44 33 2
880 61 25 26 3
247 69 7 47 2
1035 94 4 25 1
2 33 24 25 1
404 10 38 44 0
504 12 46 45 3
85 57 11 48 2
283 8 38 33 1
262 97 4 45 2
798 24 12 29 3
913 90 21 27 0
925 96 0 49 0
371 62 20 28 1
497 74 27 31 0
525 43 10 10 2
1135 73 7 15 2
514 22 0 35 0
297 52 24 37 3
1185 47 10 33 0
1071 20 24 19 0
1019 1 20 38 1
723 84 30 27 3
1231 22 33 42 0
1019 36 49 39 3
833 22 8 45 1
1189 10 4 11 1
521 26 49 44 2
235 80 28 48 2
76 83 36 49 2
638 69 7 32 1
623 13 13 18 0
640 97 24 35 3
1026 74 44 47 2
520 34 16 33 0
193 55 1 18 3
29 27 30 31 0
1189 20 43 28 0
139 85 14 39 1
382 60 21 14 1
350 37 0 22 3
419 99 29 31 2
1078 36 39 41 3
545 4 17 18 1
118 27 42 48 1
496 95 38 27 0
7 61 45 30 0
340 13 0 12 3
905 10 10 36 0
420 51 36 18 3
749 31 45 17 3
1194 7 23 47 1
859 19 26 32 1
1126 25 24 27 0
1266 65 1 49 0
253 31 9 21 1
982 13 12 31 1
1031 73 42 30 1
653 74 26 17 0
423 16 13 22 3
649 87 44 37 1
260 91 49 44 3
311 44 13 37 1
961 99 7 36 1
500 61 27 25 0
1036 61 10 35 0
523 79 2 33 1
628 67 26 33 3
869 42 24 48 1
725 74 13 11 1
729 5 21 30 0
748 68 3 46 0
807 92 10 21 3
1014 42 28 27 0
1226 62 38 33 0
565 61 44 16 3
490 71 4 26 1
321 32 1 25 0
939 7 44 27 1
555 32 11 19 3
610 71 28 36 0
958 91 19 38 1
448 82 22 33 0
516 34 9 21 3
227 89 46 19 1
297 24 7 20 0
782 95 39 26 1
1169 99 28 39 3
899 46 49 13 0
648 29 39 30 2
783 8 17 36 0
651 69 2 47 2
565 26 24 33 2
35 84 11 18 1
470 74 17 45 2
481 68 12 37 2
717 66 7 21 0
1110 53 45 30 3
14 1 36 39 0
991 15 6 43 2
849 80 2 38 0
21 9 29 47 3
415 31 26 24 3
1083 0 38 23 3
843 75 23 25 0
157 56 15 30 2
906 37 32 25 2
869 70 27 33 0
892 7 0 30 3
559 57 23 18 3
695 39 5 30 0
161 22 21 34 3
159 46 15 45 0
1106 77 43 40 2
1273 90 25 23 0
275 42 18 24 0
407 88 32 44 1
403 60 27 21 3
458 59 23 41 1
573 54 19 10 2
22 26 40 29 1
1165 13 33 23 1
28 88 47 33 0
803 99 47 14 3
306 50 3 45 1
780 17 26 35 3
384 1 30 29 2
830 11 29 22 2
24 44 0 44 0
803 80 5 26 0
1187 43 11 34 2
201 58 3 21 1
294 37 26 11 0
1229 41 36 43 2
1128 74 4 22 1
922 5 13 40 3
749 97 34 21 2
1126 88 39 21 2
820 46 1 36 0
1260 33 22 14 0
195 53 23 36 0
662 81 13 47 2
888 59 45 27 1
932 83 12 44 1
191 84 33 25 0
455 56 16 20 1
597 7 31 39 1
313 70 30 14 3
672 63 34 45 1
645 21 4 17 2
186 43 25 12 3
689 39 13 22 1
536 68 8 44 2
79 95 30 47 0
930 58 40 10 0
567 95 21 48 3
855 89 8 33 2
398 96 9 23 2
1219 12 24 39 2
655 63 12 22 0
674 36 44 49 0
416 79 2 13 0
479 60 38 27 1
1036 18 3 45 2
824 26 38 34 1
193 6 34 49 0
218 0 19 28 3
378 44 47 15 1
737 46 13 34 0
970 9 5 29 2
622 80 19 34 0
217 86 39 27 1
1190 22 6 22 1
686 62 8 48 3
221 53 39 27 0
205 89 24 20 2
150 22 38 21 2
345 97 20 37 3
1269 68 9 34 2
876 29 17 18 0
309 2 22 11 3
136 91 15 38 3
583 54 12 23 0
1084 10 16 36 0
295 21 30 18 3
452 19 24 45 1
1016 36 37 18 2
506 6 21 11 2
1240 8 42 43 1
813 67 22 49 2
740 80 38 36 2
994 6 6 43 2
210 30 13 23 1
761 67 14 10 3
890 79 35 44 2
1103 45 7 43 2
586 92 8 35 0
506 24 34 49 1
1092 78 40 33 1
695 81 23 42 0
1200 63 25 39 0
703 25 31 38 0
236 2 15 30 3
418 92 17 14 1
978 84 46 45 2
507 20 16 17 3
780 52 32 48 0
87 55 24 26 1
1167 33 20 18 2
1153 69 18 48 3
207 3 39 40 0
953 48 27 31 2
698 29 45 11 2
546 73 7 39 1
6 3 12 44 2
558 75 6 17 3
129 17 41 46 2
138 66 47 19 3
217 42 30 11 0
947 88 8 35 3
639 92 41 24 2
336 20 35 30 3
466 60 19 41 3
541 63 9 43 0
1146 28 1 33 0
687 88 43 25 3
681 88 21 46 0
1278 12 11 47 3
118 81 1 18 2
1068 48 40 26 0
1256 10 36 36 3
1237 26 7 16 2
1220 70 48 12 1
589 48 8 42 2
100 50 16 45 2
1159 9 1 20 3
476 88 33 46 3
849 89 47 11 1
205 97 45 27 2
449 25 24 48 1
308 35 31 26 0
201 46 20 47 3
1027 10 10 24 2
329 70 11 14 2
417 62 27 42 1
500 21 2 45 2
24 3 15 19 0
901 13 36 23 0
749 96 3 21 3
985 0 45 20 0
1139 92 1 20 0
899 71 15 43 1
741 21 41 30 0
975 55 26 10 3
304 34 35 46 3
607 40 43 37 3
814 18 18 45 0
653 32 45 28 2
27 7 40 20 3
243 71 46 17 1
308 9 19 21 1
30 36 29 13 0
645 9 16 41 3
1217 89 32 13 2
1078 8 17 48 1
387 86 41 35 3
972 35 15 25 3
88 4 27 29 0
422 1 33 18 2
393 65 3 13 3
1110 57 28 27 2
658 28 9 46 3
1150 29 20 32 1
1171 76 36 39 0
167 44 9 12 0
860 50 28 38 1
684 94 1 29 3
272 17 18 17 0
760 31 37 18 3
358 21 2 22 3
146 66 4 40 1
266 51 45 39 1
247 18 40 41 0
195 73 23 29 3
21 79 20 37 2
605 68 18 41 0
509 12 33 45 0
1228 57 5 44 0
425 79 48 47 0
221 32 14 27 0
678 94 5 16 0
100 55 42 45 1
756 69 12 16 3
407 2 18 48 1
152 59 2 13 1
413 90 17 40 3
451 26 23 24 0
51 78 2 34 2
105 94 22 25 2
1032 52 0 38 2
1131 6 20 25 2
1101 91 1 43 2
1267 48 2 11 1
464 47 21 15 2
353 91 49 22 3
1102 85 47 21 2
889 51 43 15 3
1209 2 40 22 1
2 56 21 22 2
786 64 32 38 2
851 4 31 40 0
476 44 18 12 3
1065 32 34 11 3
817 78 47 17 1
67 56 20 16 2
373 48 41 43 2
1067 53 49 12 1
90 2 0 22 2
96 79 14 35 1
581 27 29 45 3
688 85 4 21 0
325 15 45 33 2
552 33 19 48 3
638 38 18 49 1
459 52 26 33 3
74 3 31 44 1
1248 20 47 48 2
789 70 48 39 3
615 74 36 33 1
256 50 12 19 0
1065 26 33 24 2
421 70 34 47 0
265 6 29 18 2
645 35 8 44 2
1030 99 47 37 2
660 70 43 26 0
807 97 17 29 2
418 39 12 47 2
770 22 46 28 1
1056 48 29 49 0
402 94 20 14 0
127 18 9 16 1
88 22 41 40 0
97 41 12 39 2
1051 70 41 10 3
834 73 3 37 0
779 55 42 34 1
1115 76 21 14 0
867 63 18 37 2
385 13 29 24 1
3 4 4 12 2
902 29 17 48 0
1270 49 4 26 2
731 55 39 39 3
517 59 7 27 0
834 30 37 14 1
177 5 5 14 1
59 91 48 39 0
923 19 25 26 0
701 67 44 19 0
1049 56 31 24 3
838 27 30 40 0
712 85 44 10 1
290 47 39 26 1
764 0 41 27 2
744 6 14 19 2
498 29 40 14 1
341 49 48 28 0
778 0 22 16 2
775 39 38 28 1
673 97 15 16 2
43 17 16 32 1
343 28 48 38 2
994 36 22 18 0
256 20 18 47 2
176 28 20 38 2
260 70 7 30 2
1104 45 21 36 2
29 56 41 31 2
535 82 11 34 0
547 85 25 17 2
506 1 29 23 0
152 86 42 11 2
1071 24 34 22 1
914 58 42 48 2
995 68 49 23 1
996 60 35 28 0
531 41 30 39 3
739 96 33 25 3
1077 9 3 38 3
512 81 32 35 2
241 94 41 31 0
47 83 38 36 0
325 53 26 40 1
69 62 26 11 0
1145 2 12 26 2
142 59 45 30 0
50 69 13 26 1
1104 69 23 40 3
336 32 43 43 1
661 35 21 15 1
335 83 40 37 1
10 83 42 27 3
1073 41 44 45 0
483 29 2 14 3
293 70 42 15 0
990 94 26 19 0
861 51 7 41 1
789 10 6 44 3
848 42 16 16 3
298 92 16 36 1
1264 8 3 45 2
628 4 36 33 2
843 63 11 19 1
1270 69 12 25 3
821 63 36 47 3
108 57 34 33 2
450 1 6 36 0
525 17 35 25 1
389 78 6 47 2
454 21 42 26 3
434 50 15 41 2
892 52 1 33 1
464 75 6 39 0
1254 86 0 46 2
1063 77 12 38 0
37 11 43 41 1
938 38 31 23 3
193 72 35 35 3
367 88 18 15 3
784 90 30 24 3
668 16 28 35 1
1099 88 34 26 1
1189 51 9 43 2
684 27 14 49 2
667 7 11 44 0
1231 76 28 20 2
1203 65 15 13 3
226 30 3 41 2
448 47 39 22 0
739 18 35 28 0
764 53 23 16 1
155 60 18 23 2
1197 5 18 28 3
370 55 4 40 0
940 4 39 21 2
596 92 48 16 2
571 44 46 14 0
568 14 49 22 1
424 79 42 31 0
762 24 14 17 3
735 11 14 26 1
1261 13 45 49 3
203 61 25 23 3
34 59 23 10 2
936 85 17 34 0
1171 29 4 14 0
85 37 0 36 1
509 82 32 27 1
787 29 1 34 2
614 99 35 41 1
1267 75 36 14 1
1263 79 49 46 2
367 64 4 11 2
783 85 2 19 0
117 66 33 31 0
1158 97 19 26 3
307 6 26 10 2
365 28 31 41 1
984 16 10 25 1
1182 6 25 15 0
665 32 25 21 3
274 56 31 43 2
1085 53 11 24 2
759 13 6 37 0
260 79 28 36 3
565 7 20 15 0
55 68 25 49 0
26 11 25 32 2
86 60 15 29 2
883 40 22 17 0
348 37 1 22 3
654 46 33 48 0
1241 66 42 15 0
1201 1 43 48 3
427 8 5 10 3
1249 59 40 23 0
129 49 26 46 1
496 80 8 11 2
924 19 23 42 0
977 84 34 20 2
158 96 1 48 3
237 85 1 12 1
365 64 35 28 1
1233 20 31 46 2
256 48 42 38 3
980 42 23 46 1
460 69 10 19 2
490 25 14 30 3
1010 32 6 41 1
356 79 3 25 1
1246 23 2 43 3
903 4 9 45 3
1036 72 10 26 1
1136 86 47 48 2
421 24 16 47 3
85 23 21 11 1
811 60 30 36 2
169 20 13 40 3
1155 36 16 46 2
477 46 26 26 1
442 90 39 32 2
483 96 6 27 3
1225 9 31 31 0
901 53 3 20 0
788 96 27 16 0
730 69 8 37 1
1021 84 31 40 2
753 28 46 14 1
545 51 41 31 2
281 87 8 33 3
929 13 37 13 3
697 58 26 17 1
74 23 38 23 2
111 90 5 47 0
1181 95 14 47 1
365 26 39 46 0
410 57 2 13 2
790 42 1 16 2
934 77 19 29 1
174 50 45 22 0
962 84 48 28 0
397 31 43 15 0
371 1 32 45 3
691 89 34 10 2
862 83 44 18 3
233 67 25 46 3
1157 16 13 46 0
1116 62 26 47 3
1015 26 39 11 1
219 54 37 49 3
1046 38 6 46 1
1005 11 4 14 2
972 90 4 15 2
1060 38 46 19 2
434 8 22 26 0
132 95 5 47 3
710 73 40 10 3
483 55 32 26 2
223 87 24 16 1
2 42 49 18 0
34 90 38 21 3
162 11 43 17 0
811 36 27 43 0
346 85 6 30 3
907 59 48 16 1
98 72 3 10 3
1064 18 9 17 1
739 76 0 20 3
595 21 13 28 1
399 72 29 29 1
428 54 45 40 0
581 31 43 15 1
693 15 48 44 2
693 44 15 22 0
712 92 47 40 0
659 1 41 16 3
508 19 0 45 1
1004 36 28 46 0
263 90 20 29 1
73 60 5 28 0
1057 46 46 29 3
326 48 7 21 1
568 33 46 44 2
768 67 0 18 0
805 20 41 48 1
940 66 48 39 3
282 56 29 27 1
91 54 41 31 3
546 59 44 24 2
75 61 9 33 0
469 32 5 35 2
1188 94 48 33 0
656 55 37 31 1
607 55 36 23 1
1209 60 49 25 1
673 94 41 48 2
519 57 7 27 0
1164 92 21 29 1
788 6 13 32 2
1188 94 38 25 3
498 12 5 45 1
183 80 30 45 0
231 58 40 48 2
331 57 7 25 0
1088 85 40 28 0
427 4 44 17 0
504 38 16 35 3
813 13 4 45 2
77 85 15 31 1
935 9 18 38 2
734 0 30 38 0
143 72 40 26 3
1047 80 46 36 2
1154 52 18 31 1
949 1 30 20 3
644 52 27 34 0
499 69 6 22 2
995 3 20 34 3
220 13 38 31 3
1276 31 37 30 3
1022 1 25 21 1
1158 4 34 29 3
573 37 23 23 2
620 0 27 45 2
1162 45 16 28 1
839 63 35 49 0
1005 5 27 38 2
89 21 49 48 3
1063 3 30 10 1
1189 69 39 17 0
602 97 30 45 2
574 46 17 18 2
379 59 48 12 0
134 3 24 36 1
478 14 8 24 3
505 22 19 20 0
1252 61 28 25 2
290 77 37 32 3
551 45 33 31 2
333 97 35 45 3
1229 36 30 44 0
698 70 35 14 3
783 52 31 29 2
118 34 40 29 1
238 95 17 40 1
763 31 17 47 0
1004 8 20 49 2
1279 40 49 10 3
591 29 22 46 1
950 76 7 16 1
249 48 7 26 3
1169 19 45 41 0
810 2 30 41 3
1271 68 33 29 2
453 38 37 37 1
1113 51 49 28 1
628 3 37 14 3
767 11 26 28 1
580 39 34 12 1
772 51 9 13 3
774 81 47 40 2
305 55 34 22 3
36 35 39 10 3
387 71 8 41 3
223 33 49 45 0
260 6 10 30 3
429 50 15 27 2
266 7 48 22 3
729 20 48 49 0
1266 71 8 14 3
751 13 35 23 3
827 68 0 45 0
1260 3 9 22 0
956 93 32 15 2
1082 10 3 39 1
849 21 1 25 2
749 46 33 41 3
784 13 8 43 2
974 78 2 48 2
796 74 21 23 3
242 52 44 38 2
819 34 47 36 2
780 11 20 32 3
838 8 38 18 0
512 17 3 39 3
907 5 1 39 2
1118 86 36 33 1
502 45 30 27 0
1069 6 9 48 2
1165 59 2 46 2
420 34 29 30 2
901 19 48 43 1
818 27 0 49 0
1039 70 23 42 2
806 45 42 19 2
906 30 22 28 3
606 49 48 12 1
11 93 33 39 2
645 65 25 15 1
1161 16 35 47 2
297 1 15 16 0
290 86 17 17 2
1151 61 16 38 2
104 27 26 47 1
572 9 49 45 0
306 32 11 19 0
5 70 48 42 0
701 84 12 17 0
1066 64 24 36 1
44 23 8 31 3
821 38 38 16 2
454 28 44 23 2
474 63 38 45 3
424 62 25 27 0
894 55 1 21 3
69 68 5 22 3
438 21 10 20 0
90 32 38 25 0
568 72 46 27 3
434 66 7 15 0
720 57 7 36 1
169 7 12 26 2
821 40 24 42 1
532 97 5 33 1
978 22 24 31 0
58 41 18 29 0
664 6 22 26 2
531 95 15 17 1
779 43 28 19 2
1253 36 0 42 3
31 63 15 46 1
276 27 16 32 2
716 58 1 14 2
79 77 20 47 1
521 6 7 10 0
153 81 18 14 2
1130 3 25 11 1
