1280 800
4 400 2
1.0 1.0 0.0 0.5
0.0 1.0 1.0 0.5
1.0 0.0 1.0 0.5
1.0 1.0 1.0 0.5
519 119 15 49 3
530 174 48 21 1
487 182 15 25 1
688 105 11 32 2
569 11 9 19 3
529 70 16 30 2
697 102 47 25 1
601 321 12 21 2
170 435 16 25 0
1041 434 41 16 1
586 21 10 36 3
475 356 3 20 1
977 104 42 12 3
854 265 2 23 1
634 377 8 42 2
861 420 12 40 1
527 449 23 23 3
985 523 16 13 2
773 438 10 24 3
317 187 5 25 1
750 354 49 43 0
234 212 26 36 3
910 514 10 16 1
881 44 26 32 2
1085 581 37 37 2
539 390 27 25 2
659 497 8 20 2
751 525 11 11 3
445 243 20 10 3
736 61 27 39 1
1044 522 19 30 1
257 589 11 13 2
182 350 14 29 3
213 536 21 19 2
524 364 7 31 2
747 178 0 17 1
189 310 4 48 2
603 15 9 28 3
543 253 29 29 0
1096 487 16 17 1
987 472 37 16 3
434 209 5 41 2
971 477 0 48 2
813 156 10 19 0
875 71 17 32 2
871 304 36 10 1
940 216 0 27 2
1179 312 27 11 2
902 534 31 14 0
371 399 21 18 2
193 234 34 25 1
337 31 40 46 2
608 517 30 33 1
1125 380 43 17 2
709 473 9 42 2
54 353 42 40 1
150 567 5 25 3
1199 506 21 22 0
112 30 5 40 2
990 144 32 29 1
1112 23 10 18 2
51 585 27 47 0
11 236 29 30 3
1096 75 6 16 2
1146 75 29 15 2
972 492 47 14 2
800 568 48 26 3
1120 392 31 11 0
349 542 43 17 2
368 546 17 21 1
473 180 35 26 3
227 536 1 18 1
1119 313 32 18 0
1183 589 29 21 0
878 317 38 42 0
159 42 0 38 1
32 339 26 30 3
449 238 7 32 0
214 262 21 14 3
748 460 11 18 1
618 234 47 16 3
746 278 9 32 3
342 418 31 48 2
1057 516 37 45 0
637 403 28 46 0
99 558 23 28 0
317 558 31 35 1
99 255 0 39 3
217 255 7 44 0
555 594 14 32 2
712 59 0 44 2
1089 561 20 21 1
903 282 49 19 0
0.0 240.0 -100.0 1.0 1.0 1.0
640.0 240.0 -10000.0 0.6 0.7 1.0
