1280 800
4 1400 2
1.0 1.0 0.0 0.5
0.0 1.0 1.0 0.5
1.0 0.0 1.0 0.5
1.0 1.0 1.0 0.5
45 500 28 16 1
16 562 15 42 1
89 264 46 33 3
14 475 6 19 0
82 107 2 11 2
104 604 38 19 1
75 534 16 31 2
16 476 33 20 0
20 8 8 21 2
38 593 35 16 3
96 732 26 11 1
53 323 14 12 2
94 350 2 13 3
78 483 14 13 1
55 632 31 25 3
26 394 31 37 1
66 67 0 20 0
53 536 33 26 1
95 483 38 27 3
5 561 40 43 1
22 113 31 30 0
110 13 31 47 2
75 340 33 48 2
95 425 1 18 2
52 712 5 45 3
83 443 3 37 0
112 401 7 41 0
53 74 48 43 2
82 413 18 45 1
11 702 43 19 3
19 248 30 38 0
60 738 28 14 1
72 248 44 10 2
94 79 7 23 1
78 461 20 45 2
32 536 28 33 2
0 233 5 12 1
84 577 20 32 0
97 686 15 39 2
118 430 40 47 0
30 680 0 21 2
109 309 0 18 1
98 790 29 29 0
96 527 1 44 2
97 437 12 13 0
74 322 1 16 2
21 433 12 42 0
3 627 9 37 0
26 401 6 47 3
79 463 6 38 0
107 245 18 30 2
16 321 45 35 0
111 395 0 46 3
88 44 48 47 2
94 749 24 38 3
85 721 41 44 2
23 195 23 47 1
93 536 10 13 1
55 45 18 17 2
8 488 6 30 1
117 169 35 38 0
9 486 19 17 3
118 737 3 23 2
64 386 46 48 2
11 490 38 28 2
43 549 2 16 0
3 644 18 23 0
1 30 11 29 0
85 98 7 21 1
80 770 48 17 2
26 631 26 31 0
72 659 25 41 0
32 473 38 29 1
32 282 6 35 0
24 774 46 10 3
13 325 32 23 0
34 137 40 40 0
61 483 42 19 1
60 711 2 36 3
93 474 10 13 1
99 634 45 24 0
82 137 42 45 1
77 479 40 31 0
32 592 3 38 2
114 128 34 16 0
17 647 47 45 0
11 10 6 24 0
13 155 35 23 2
44 443 15 47 0
9 14 17 45 1
115 563 12 28 2
91 775 13 29 3
57 569 32 45 2
38 663 2 24 0
27 732 24 33 2
0 109 46 38 0
101 43 32 11 0
88 669 12 26 3
56 15 30 12 0
22 32 44 49 0
20 511 12 46 3
7 332 46 20 1
52 201 1 35 1
30 533 26 26 2
34 19 0 21 1
10 614 46 31 2
5 613 10 23 1
87 483 25 19 1
5 248 28 33 1
18 632 36 43 1
68 589 18 22 3
85 732 32 16 0
106 796 34 23 3
87 47 27 47 2
80 521 23 42 3
114 570 21 14 3
55 576 30 45 2
6 588 12 34 3
82 397 21 46 0
7 674 24 49 1
82 167 46 31 1
15 346 10 24 2
37 156 30 12 2
13 720 19 36 2
20 497 35 12 0
41 634 11 39 0
26 340 42 43 3
35 235 46 11 3
17 441 47 29 2
27 122 24 38 2
40 494 35 21 3
39 339 41 46 1
73 792 2 12 3
110 530 20 17 1
48 704 20 40 1
61 467 49 43 1
83 701 21 31 0
38 752 13 19 0
65 472 23 40 3
17 378 32 47 0
0 434 37 19 1
111 623 31 18 2
100 112 12 33 2
9 95 13 23 3
29 58 23 47 3
41 798 40 21 1
117 488 49 12 0
81 471 1 45 1
78 636 15 48 1
33 591 18 34 2
4 742 22 10 2
56 595 7 24 0
105 110 11 43 2
103 706 10 42 0
10 165 41 21 3
117 511 4 25 1
100 277 11 47 1
56 519 16 27 3
56 553 32 10 2
97 516 7 36 2
58 182 5 41 3
87 509 19 33 3
53 694 34 27 1
37 163 13 31 0
24 575 1 37 0
86 607 20 23 2
108 411 30 43 3
114 685 16 41 1
87 341 49 18 3
2 502 33 30 3
21 331 0 31 3
83 302 1 40 0
22 55 5 23 2
35 564 16 49 2
43 209 38 24 2
83 543 24 34 2
19 413 8 37 1
64 628 44 36 0
69 401 41 45 3
59 467 40 21 3
2 407 32 41 0
25 413 23 28 1
72 10 43 29 1
104 446 0 30 1
4 438 0 10 0
95 416 24 37 2
80 55 15 25 3
105 136 46 31 1
102 506 3 30 1
90 73 1 28 2
20 735 7 19 2
53 237 13 19 2
106 332 45 27 3
64 344 24 45 3
79 693 28 28 2
58 211 47 37 2
82 40 31 11 1
73 174 42 25 2
60 300 48 27 0
91 631 32 26 2
83 778 16 17 0
56 0 10 12 3
99 482 22 44 0
39 452 34 17 0
54 306 5 25 2
82 284 38 12 2
83 612 20 14 2
2 675 12 41 2
11 323 13 47 2
3 784 12 25 0
24 710 1 17 2
50 412 39 11 1
44 179 16 38 2
40 234 11 43 2
15 108 30 42 0
56 44 41 43 0
96 595 42 44 3
107 557 6 28 1
71 707 11 15 1
103 466 8 39 0
115 18 14 32 2
36 416 9 48 3
69 671 7 19 3
107 74 3 25 1
34 331 32 46 2
62 512 48 44 1
109 416 24 14 3
117 162 2 48 1
119 565 31 33 3
98 501 45 17 0
49 447 34 46 3
81 219 43 27 0
29 519 8 30 2
47 656 40 36 2
53 114 16 46 2
23 216 39 12 1
43 101 22 37 0
115 227 6 23 3
96 123 6 34 3
27 584 4 37 2
85 363 21 30 0
113 770 22 19 0
82 625 34 25 1
16 767 4 29 3
34 59 19 48 3
9 362 13 24 0
31 362 13 12 3
79 14 30 39 0
109 449 3 25 2
68 337 13 25 2
79 412 5 44 3
44 40 25 41 3
44 574 35 28 0
77 186 41 30 2
79 359 18 40 2
13 480 37 13 3
45 358 21 18 1
11 606 2 25 2
9 11 27 34 0
53 724 17 24 1
66 615 21 28 0
71 334 4 35 3
106 276 11 37 1
99 123 2 21 2
41 67 3 37 1
47 256 33 34 3
91 9 37 27 3
39 542 23 31 2
91 473 32 30 2
24 155 18 38 0
80 442 23 41 3
95 265 18 26 0
87 425 36 14 3
71 654 23 15 0
61 250 23 38 0
66 300 44 49 2
28 618 18 21 1
56 457 21 46 0
95 38 36 42 1
93 157 5 29 1
70 710 19 28 0
40 633 24 36 1
38 762 27 18 0
51 730 47 15 3
108 284 33 27 0
62 94 42 10 2
78 360 20 33 2
75 227 26 49 1
49 284 18 28 1
47 109 12 38 0
30 238 11 25 0
3 297 22 12 0
54 54 30 15 3
32 225 28 32 0
57 657 12 30 3
118 709 31 47 2
29 329 7 28 2
55 240 14 44 1
57 142 24 24 1
10 209 25 11 0
58 311 1 14 0
24 72 31 46 2
103 339 17 31 2
7 773 35 29 3
102 110 45 37 2
94 448 24 22 0
111 517 45 23 2
77 593 28 12 0
13 168 18 17 2
32 267 41 44 1
14 518 23 27 0
52 642 19 14 2
39 625 39 22 1
82 699 1 36 1
100 457 49 19 0
106 303 31 36 2
56 149 16 42 2
75 312 35 29 1
107 704 25 40 0
2 271 32 23 1
68 403 48 42 3
38 63 48 28 1
114 55 33 44 0
87 211 19 33 2
45 489 19 39 3
112 575 8 28 2
101 263 26 31 3
78 7 44 42 3
20 104 2 35 3
91 734 28 28 0
63 579 15 44 2
88 779 47 11 3
96 620 32 47 2
16 556 48 37 3
92 584 44 46 1
40 518 24 48 3
69 298 1 29 0
21 146 7 48 0
40 525 45 24 3
15 128 23 40 3
60 271 0 16 2
96 682 28 37 3
52 335 11 33 1
3 54 43 27 1
68 552 42 19 3
63 430 13 37 2
87 601 32 14 1
4 268 2 24 3
61 143 18 11 2
111 660 45 40 3
61 344 29 19 1
29 577 44 33 0
26 335 14 20 1
100 786 10 17 3
80 610 23 37 0
117 565 17 13 0
46 437 18 39 0
20 198 40 16 3
54 173 18 33 1
60 722 8 21 3
5 244 47 22 1
55 557 15 38 3
97 484 32 32 0
93 640 21 40 3
0 108 36 44 3
118 516 6 35 2
108 34 45 49 1
118 698 31 25 1
21 691 14 16 0
16 31 2 43 1
24 687 39 39 1
50 771 4 11 0
30 668 6 17 1
25 701 11 34 2
17 250 15 10 3
95 276 15 15 1
78 216 20 14 0
103 605 10 37 0
115 312 7 27 2
24 623 1 24 0
107 409 14 30 1
98 18 26 39 3
54 763 17 40 2
15 663 17 44 2
88 513 23 43 1
3 65 30 44 0
42 31 9 37 0
83 652 37 11 1
46 124 3 11 0
50 593 23 28 0
89 336 2 15 3
98 289 25 16 3
109 499 47 15 1
100 191 1 30 1
114 423 30 21 2
47 146 25 44 1
75 107 2 32 2
23 756 19 29 0
85 61 27 18 0
2 273 18 13 1
46 139 13 39 1
77 53 7 14 0
18 68 31 20 2
59 640 37 46 3
105 46 15 20 3
68 316 11 33 3
107 394 7 18 0
11 214 29 43 2
86 241 41 12 0
13 684 48 23 2
46 627 37 11 2
93 280 5 14 2
78 796 47 21 3
103 155 14 36 1
39 541 24 20 3
77 308 39 47 0
36 248 45 34 3
56 212 22 22 2
32 229 29 31 1
51 375 16 17 2
74 313 44 31 0
55 340 30 33 1
36 280 30 33 1
18 367 39 47 3
44 633 8 20 3
44 110 9 28 3
73 377 8 38 3
79 645 35 42 1
114 18 37 42 0
6 159 33 16 0
73 147 22 35 0
82 89 21 43 0
51 141 13 26 3
91 260 48 15 1
92 339 10 14 2
113 171 35 11 1
29 625 14 28 1
37 115 35 16 1
112 253 34 45 1
30 356 9 27 3
110 152 12 49 0
65 177 20 23 1
4 316 49 14 3
15 392 35 30 0
29 718 41 29 3
48 764 46 12 1
67 467 46 29 3
60 778 12 13 1
16 767 34 19 1
50 386 6 30 0
89 491 24 12 3
9 657 35 35 2
75 356 43 18 3
50 5 12 39 0
48 479 36 15 2
118 171 25 42 1
81 629 29 49 0
31 486 23 20 2
92 253 35 39 3
108 193 24 23 0
10 482 6 10 0
31 90 35 48 2
53 223 2 26 2
70 526 4 13 1
79 726 2 18 1
12 311 41 32 3
50 728 11 39 1
112 166 40 46 2
7 177 14 40 3
61 393 26 49 3
13 316 41 13 1
66 181 26 27 1
59 474 37 23 1
54 777 42 48 1
67 798 0 24 1
9 564 36 24 3
82 540 22 34 3
94 525 7 33 1
55 407 21 10 1
45 612 8 26 3
96 36 48 17 2
23 177 24 34 0
41 692 14 11 1
81 38 46 24 1
47 676 35 27 3
111 366 12 26 0
71 777 10 13 3
86 448 6 38 1
0 359 18 14 1
96 253 38 42 2
70 104 1 38 2
93 762 48 37 0
30 285 41 31 3
30 605 12 45 3
18 566 28 12 1
91 300 31 36 3
70 313 36 36 2
103 35 7 23 3
103 372 3 23 1
56 241 24 25 3
79 674 43 27 3
62 188 26 46 0
3 163 40 46 1
103 4 4 17 2
31 486 20 32 3
50 58 34 42 3
67 556 21 14 1
22 356 46 49 3
10 93 27 40 3
46 573 27 33 0
61 328 49 30 3
58 734 44 22 0
112 552 20 28 0
53 461 37 49 1
108 91 15 49 1
87 661 22 48 2
113 479 36 49 1
107 750 22 39 3
83 251 8 32 0
62 96 36 11 3
25 742 48 21 3
21 737 1 29 1
27 444 14 23 0
57 143 36 43 2
92 186 6 33 0
86 85 31 47 3
114 446 1 22 3
40 4 38 38 3
55 744 5 10 3
101 677 20 10 0
102 478 41 24 0
53 458 22 10 1
70 359 1 27 3
54 622 1 42 1
9 624 34 22 0
45 460 11 33 2
112 72 8 42 1
33 343 19 47 2
14 261 27 29 2
68 81 36 39 3
22 323 21 22 2
29 390 19 27 0
70 272 32 33 1
106 115 26 11 2
116 127 25 17 0
75 317 10 48 2
114 152 26 20 1
74 56 8 32 0
119 691 5 23 1
39 286 3 38 0
91 548 48 38 3
74 215 21 17 1
97 375 40 41 0
26 653 43 20 3
29 674 33 29 3
89 133 3 32 0
23 477 25 33 2
108 280 6 25 1
71 727 46 34 1
10 380 21 29 3
31 304 1 46 0
8 791 13 10 3
64 282 48 46 1
2 150 29 32 2
60 54 37 47 1
4 169 37 19 3
53 772 31 13 1
4 34 47 31 0
93 441 39 31 2
24 326 6 44 1
11 596 25 35 2
75 484 34 11 2
29 459 1 46 2
74 105 20 43 0
51 482 4 38 3
2 771 16 33 1
45 434 9 33 3
37 12 23 39 1
11 544 14 14 3
76 307 40 14 0
28 529 46 26 2
91 77 34 22 2
60 253 49 34 2
49 7 14 10 3
61 47 29 22 2
61 472 7 11 3
115 9 49 38 2
114 215 28 23 0
17 667 16 10 2
4 373 44 20 2
32 421 0 11 0
70 547 23 15 2
39 708 14 20 2
46 13 29 14 0
106 17 10 14 0
100 736 26 22 3
103 84 36 16 0
28 629 34 24 2
7 583 19 18 2
116 624 11 33 1
18 126 19 19 1
63 277 48 23 3
86 380 28 44 3
23 119 30 16 2
107 713 13 44 0
0 16 10 38 2
1 486 36 38 1
2 103 19 44 2
109 142 5 39 2
91 49 31 36 2
84 770 23 17 2
112 612 19 46 3
69 89 32 41 3
99 289 35 34 0
76 728 49 16 1
115 112 32 13 3
105 324 16 25 3
50 544 3 33 1
43 501 44 34 3
115 327 6 23 3
32 99 42 14 0
69 453 27 41 2
64 396 29 10 1
40 552 41 26 2
32 477 26 33 2
76 688 18 11 1
99 73 1 20 1
65 125 30 40 0
109 242 27 31 3
39 222 28 13 2
65 44 29 21 3
82 750 20 37 0
55 262 14 45 0
74 395 34 46 3
116 204 11 16 1
81 421 10 30 2
52 511 45 36 3
14 122 40 15 3
26 727 28 25 1
35 577 40 39 3
28 229 12 46 2
33 685 41 47 0
64 573 27 41 3
27 35 4 29 3
118 573 12 29 0
46 546 21 45 1
92 593 19 10 3
52 189 6 42 3
75 619 48 31 1
68 595 26 49 2
4 581 5 43 1
13 328 4 49 0
116 689 15 45 3
74 413 11 45 1
99 240 10 29 1
44 678 23 23 2
69 683 36 40 0
103 569 29 11 0
57 775 20 49 1
12 716 17 46 0
57 774 5 35 3
91 602 12 25 1
2 713 8 17 3
38 6 3 10 2
105 345 16 40 0
62 741 45 47 0
20 761 39 18 0
69 454 18 41 1
117 647 41 48 2
51 79 44 40 1
37 757 21 40 3
97 346 8 38 3
83 264 19 33 1
105 707 42 38 2
96 369 1 40 2
51 452 9 27 0
43 143 44 42 2
88 49 21 22 0
17 66 1 29 2
97 730 5 19 0
0 134 31 22 3
22 185 37 30 2
76 282 10 16 0
117 547 49 43 0
22 201 16 40 2
5 254 31 39 2
10 669 29 44 3
104 284 47 47 1
61 281 28 13 2
117 185 5 39 3
8 752 8 23 1
52 184 11 47 3
10 791 27 39 0
44 173 33 35 2
7 533 31 13 3
63 745 47 42 3
62 60 20 47 2
80 726 12 40 1
45 285 25 12 3
1 164 48 28 0
14 172 45 41 3
65 759 5 22 2
98 768 2 24 1
79 412 31 30 1
52 480 30 45 2
84 681 2 26 3
4 465 41 15 3
104 474 14 13 2
